"id","german_term","context_source","our_proposed_english","distinction_we_are_trying_to_preserve","duden_dwds_status","REVIEW_verdict","REVIEW_better_english","REVIEW_notes","REVIEW_confidence"
"MS-001","Baubeginn","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:98; no project-specific official English counterpart found in the 2026-08-06 pass.","construction start","Not planning start, site setup or opening","D + A; DWDS blocked","","","",""
"MS-002","Baustart","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:99; no project-specific official English counterpart found in the 2026-08-06 pass.","construction start","Often informal; retain the source's object","S; DWDS blocked","","","",""
"MS-003","Spatenstich","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:100; no project-specific official English counterpart found in the 2026-08-06 pass.","groundbreaking","Ceremonial milestone; not proof that main works began","S; DWDS blocked","","","",""
"MS-004","Bauarbeiten","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:101; official parallel English found: C-001: https://www.berlin.de/en/news/7675155-5559700-full-closure-elsenbruecke-saturday.en.html, C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","construction works","Activity, not itself a milestone","D; DWDS blocked","","","",""
"MS-005","Bauausführung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:102; no project-specific official English counterpart found in the 2026-08-06 pass.","construction execution","Delivery stage, not completion","D + A; DWDS blocked","","","",""
"MS-006","Baumaßnahme","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:103; no project-specific official English counterpart found in the 2026-08-06 pass.","construction measure","Scope noun; not automatically a whole project","D; DWDS blocked","","","",""
"MS-007","Bauabschnitt","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:104; official parallel English found: C-014: https://www.berlin.de/en/news/10163776-5559700-europaplatz-to-be-redesigned-from-februa.en.html","construction phase","Retain phase number and boundary","D; DWDS blocked","","","",""
"MS-008","erster Bauabschnitt","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:105; no project-specific official English counterpart found in the 2026-08-06 pass.","first construction phase","Never present as whole-project scope","S; DWDS blocked","","","",""
"MS-009","Hauptmaßnahmen","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:106; no project-specific official English counterpart found in the 2026-08-06 pass.","main works","Distinct from preparatory works","S; DWDS blocked","","","",""
"MS-010","bauvorbereitende Maßnahmen","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:107; no project-specific official English counterpart found in the 2026-08-06 pass.","preparatory works","Not construction completion; may precede main works","S + A; DWDS blocked","","","",""
"MS-011","Baufeldfreimachung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:108; no project-specific official English counterpart found in the 2026-08-06 pass.","site clearance","Preparatory milestone","S; DWDS blocked","","","",""
"MS-012","Baufeld","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:109; no project-specific official English counterpart found in the 2026-08-06 pass.","construction plot / development parcel","Geographic/phase unit, not the whole development","D; DWDS blocked","","","",""
"MS-013","Bauzeit","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:110; no project-specific official English counterpart found in the 2026-08-06 pass.","construction period","A duration or range; not necessarily an end milestone","D; DWDS blocked","","","",""
"MS-014","Voraussichtliche Bauzeit","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:111; no project-specific official English counterpart found in the 2026-08-06 pass.","expected construction period","Preserve uncertainty and both endpoints","S; DWDS blocked","","","",""
"MS-015","Bauende","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:112; no project-specific official English counterpart found in the 2026-08-06 pass.","construction end","Construction milestone; not necessarily handover/opening","S; DWDS blocked","","","",""
"PRIORITY-C010-02__MS-016","Fertigstellung","C-010; Senate Schulbau portal; published 2024-07-03; source wording: Die Fertigstellung erfolgt nach jetzigem Planungsstand im Herbst 2026.; https://www.berlin.de/schulbau/aktuelles/2024/grundstein-fuer-neues-heinrich-hertz-gymnasium-in-friedrichshain-kreuzberg-gelegt-1462284.php","completion","The source uses unqualified Fertigstellung. The review must identify what event it denotes here while retaining nach jetzigem Planungsstand and season-level date precision.","D; DWDS blocked","","","",""
"MS-017","vollständige Fertigstellung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:114; no project-specific official English counterpart found in the 2026-08-06 pass.","full completion","Stronger than a phase or partial completion","S; DWDS blocked","","","",""
"PRIORITY-C010-04__MS-018","bauliche Fertigstellung","C-010; Bezirksamt Friedrichshain-Kreuzberg; published 2026-07-06; source wording: In Abstimmung mit allen Beteiligten ist die bauliche Fertigstellung am Ostbahnhof und die Übergabe an den Bezirk zum 31. August 2026 geplant.; https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2026/pressemitteilung.1689904.php","physical construction completion","The German wording places bauliche Fertigstellung and Übergabe an den Bezirk together. The review must determine whether they are two coordinated milestones or one combined event; equipment, move and teaching operations may follow.","S; DWDS blocked","","","",""
"MS-019","geplante Fertigstellung","docs/glossary.md — Milestones, phases and status terms; docs/research/glossary-verification.md:116; no project-specific official English counterpart found in the 2026-08-06 pass.","planned completion","Preserve planning status","S; DWDS blocked","","","",""
